,Path,Label,Daemon/Agent,Program,Argument,maxCPU,UserName,GroupName,Permission(8)
27,/System/Library/LaunchAgents/com.apple.imagent.plist,com.apple.imagent,agent,x,['/System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent'],x,x,x,x
28,/System/Library/LaunchAgents/com.apple.mbfloagent.plist,com.apple.mbfloagent,agent,x,['/System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbfloagent'],x,x,x,x
29,/System/Library/LaunchAgents/com.apple.installerauthagent.plist,com.apple.installerauthagent,agent,/System/Library/PrivateFrameworks/IASUtilities.framework/Versions/A/Resources/installerauthagent,x,x,x,x,x
30,/System/Library/LaunchAgents/com.apple.FileProvider.plist,com.apple.fileprovider.fileproviderd,agent,/System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd,x,x,x,x,x
31,/System/Library/LaunchAgents/com.apple.pluginkit.pkreporter.plist,com.apple.pluginkit.pkreporter,agent,x,['/usr/libexec/pkreporter'],x,x,x,x
32,/System/Library/LaunchAgents/com.apple.btsa.plist,com.apple.btsa,agent,x,"['/System/Library/CoreServices/Bluetooth Setup Assistant.app/Contents/MacOS/Bluetooth Setup Assistant', '-autoConfigure']",x,x,x,x
33,/System/Library/LaunchAgents/com.apple.speech.speechdatainstallerd.plist,com.apple.speech.speechdatainstallerd,agent,/System/Library/PrivateFrameworks/SpeechObjects.framework/Versions/A/SpeechDataInstallerd.app/Contents/MacOS/SpeechDataInstallerd,x,x,x,x,x
34,/System/Library/LaunchAgents/com.apple.ReportPanic.plist,com.apple.ReportPanic,agent,/System/Library/CoreServices/ReportPanic.app/Contents/MacOS/ReportPanic,x,x,x,x,x
35,/System/Library/LaunchAgents/com.apple.usernoted.plist,com.apple.usernoted,agent,/usr/sbin/usernoted,x,x,x,x,x
36,/System/Library/LaunchAgents/com.apple.Maps.pushdaemon.plist,com.apple.Maps.mapspushd,agent,/System/Library/CoreServices/mapspushd,['/System/Library/CoreServices/mapspushd'],x,x,x,x
37,/System/Library/LaunchAgents/com.apple.CallHistorySyncHelper.plist,com.apple.CallHistorySyncHelper,agent,x,['/System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper'],x,x,x,x
38,/System/Library/LaunchAgents/com.apple.suggestd.plist,com.apple.suggestd,agent,x,['/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd'],x,x,x,x
39,/System/Library/LaunchAgents/com.apple.netauth.user.gui.plist,com.apple.netauth.user.gui,agent,x,['/System/Library/CoreServices/NetAuthAgent.app/Contents/MacOS/NetAuthAgent'],x,x,x,x
40,/System/Library/LaunchAgents/com.apple.FolderActionsDispatcher.plist,com.apple.FolderActionsDispatcher,agent,x,"['/System/Library/CoreServices/FolderActionsDispatcher.app/Contents/MacOS/FolderActionsDispatcher', 'launchd']",x,x,x,x
41,/System/Library/LaunchAgents/com.apple.uikitsystemapp.plist,com.apple.uikitsystemapp,agent,x,"['/System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem', 'system_app_start']",x,x,x,x
